type	x(cm)	y(cm)	z(cm)
sos	18.781	160.98	350.465
sos	462.8175	264.2755	343.214
sos	478.9155	73.7825	343.214
sos	850.511	261.5925	343.214
sos	866.609	72.441	343.214
sos	1525.2855	261.5925	343.214
sos	1541.3835	72.441	343.214
sos	2108.838	261.5925	343.214
sos	2126.2775	72.441	343.214
sos	2566.2895	261.5925	343.214
sos	2583.729	72.441	343.214
bm	189.1515	285.7395	561.9525
bm	189.1515	248.1775	561.9525
bm	3317.5295	189.1515	429.0175
hs	0	185.127	352.882
hs	189.1515	72.441	300.9165
hs	389.035	262.934	343.214
hs	407.816	72.441	343.214
hs	776.7285	264.2755	343.214
hs	794.168	75.124	343.214
hs	1455.5275	262.934	343.214
hs	1472.967	72.441	343.214
hs	1974.688	262.934	343.214
hs	2052.495	72.441	343.214
hs	2504.5805	262.934	343.214
hs	2522.02	72.441	343.214
hs	3025.0825	69.758	279.1635
am	33.5375	189.1515	346.8395
am	273.666	72.441	300.9165
am	528.551	264.2755	343.214
am	543.3075	73.7825	343.214
am	909.537	261.5925	343.214
am	928.318	72.441	343.214
am	1581.6285	262.934	343.214
am	1597.7265	72.441	343.214
am	2185.3035	261.5925	343.214
am	2202.743	72.441	343.214
am	2648.121	261.5925	343.214
am	2664.219	72.441	343.214
am	3010.326	257.568	279.1635
was	124.7595	99.271	513.6125
was	128.784	248.1775	513.6125
was	495.0135	336.7165	538.991
was	513.7945	2.683	538.991
was	665.384	336.7165	538.991
was	665.384	2.683	538.991
was	878.6825	336.7165	453.1875
was	898.805	2.683	453.1875
was	1521.261	330.009	540.1995
was	1531.993	0	540.1995
was	2179.9375	338.058	540.1995
was	2185.3035	6.7075	540.1995
was	2731.294	17.4395	540.1995
was	2744.709	330.009	540.1995
was	2833.248	266.9585	540.1995
was	2852.029	75.124	540.1995
was	3062.6445	179.761	540.1995
gw	1690.5	169.058	394
